channel,url,title,date
VK:Archief,http://www.volkskrant.nl/wetenschap/heb-je-bij-vrouwelijke-arts-minder-kans-om-te-overlijden~a4445954/,Heb je bij vrouwelijke arts minder kans om te overlijden?,"Tue, 10 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/opinie/overgeleverd-aan-fascistoide-militairen~a4445520/,Overgeleverd aan fascistoïde militairen,"Mon, 09 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/opinie/voor-sommige-vogelaars-is-eenvoudig-geluk-niet-genoeg~a4443888/,Voor sommige vogelaars is eenvoudig geluk niet genoeg,"Thu, 05 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/sport/elfstedentochtuitzendingen-zijn-oefeningen-in-nostalgie~a4444028/,Elfstedentochtuitzendingen zijn oefeningen in nostalgie,"Thu, 05 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/magazine/een-lijstje-kennissen-om-te-bellen-en-uit-te-schelden~a4443873/,Een lijstje kennissen om te bellen en uit te schelden,"Thu, 05 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/magazine/trots-tevreden-en-vooral-reusachtig~a4443964/,"Trots, tevreden en vooral reusachtig","Thu, 05 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/binnenland/wie-kiest-wilders-voor-zijn-kandidatenlijst~a4444034/,Wie kiest Wilders voor zijn kandidatenlijst?,"Thu, 05 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/wetenschap/boeren-met-wat-hulp-van-boven~a4443925/,Boeren met wat hulp van boven,"Wed, 04 Jan 2017 18:34:00 GMT"
VK:Archief,http://www.volkskrant.nl/archief/vergeet-je-de-lieve-eekhoorn-niet~a4443443/,Vergeet je de lieve eekhoorn niet?,"Wed, 04 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/boeken/god-weet-hoe-het-de-broeders-in-polen-gaat~a4443397/,God weet hoe het de broeders in Polen gaat,"Wed, 04 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/economie/van-ac-restaurant-naar-la-place-zoek-de-verschillen~a4443065/,Van AC Restaurant naar La Place: zoek de verschillen,"Tue, 03 Jan 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/theater/geslaagde-jeugdtheatervoorstelling-over-oorlog~a4459212/,Geslaagde jeugdtheatervoorstelling over oorlog,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/bedrijfscollecties-hebben-vaak-uitstekende-neus-voor-jong-talent~a4459242/,Bedrijfscollecties hebben vaak uitstekende neus voor jong talent,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/binnenland/kinderliedjes-of-pop-voor-samuel-is-muziek-adem~a4459186/,"Kinderliedjes of pop, voor Samuel is muziek adem","Tue, 07 Feb 2017 18:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/muziek/zo-wil-het-residentieorkest-nieuw-jong-publiek-lokken~a4458717/,"Zo wil het Residentieorkest nieuw, jong publiek lokken","Tue, 07 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/syrische-kunstenaar-maakt-busbarricade-in-dresden-als-eerbetoon-aan-aleppo~a4458741/,Syrische kunstenaar maakt busbarricade in Dresden als eerbetoon aan Aleppo,"Mon, 06 Feb 2017 18:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/muziek/wereldpremiere-voor-nieuwe-compositie-van-rijnvos~a4458329/,Wereldpremière voor nieuwe compositie van Rijnvos,"Mon, 06 Feb 2017 06:08:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/meesterwerken-hangen-zij-aan-zij-met-hun-voorstudies~a4458288/,Meesterwerken hangen zij aan zij met hun voorstudies,"Mon, 06 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/recensies/jett-rebel-speelt-goed-maar-kan-publiek-niet-verleiden~a4458306/,"Jett Rebel speelt goed, maar kan publiek niet verleiden","Mon, 06 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/manneken-pis-heeft-nu-zijn-eigen-museum-in-brussel~a4458266/,Manneken Pis heeft nu zijn eigen museum in Brussel,"Mon, 06 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/waar-is-filmmaker-jacco-groen-52-nu-mee-bezig~a4458297/,Waar is filmmaker Jacco Groen (52) nu mee bezig?,"Mon, 06 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/theater/cadance-festival-laat-twee-nieuwelingen-excelleren~a4458322/,CaDance Festival laat twee nieuwelingen excelleren,"Sun, 05 Feb 2017 18:42:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/het-utopische-centre-pompidou-is-40-en-geliefder-dan-ooit~a4457835/,Het utopische Centre Pompidou is 40 en geliefder dan ooit,"Sat, 04 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/rembrandt-schilderde-met-geweldige-overtuiging-een-struisvogelveer~a4457585/,Rembrandt schilderde met geweldige overtuiging een struisvogelveer,"Sat, 04 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/-prozac-heeft-mijn-leven-gered~a4457836/,'Prozac heeft mijn leven gered',"Sat, 04 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/film/-ik-was-net-mijn-vader-obsessief-met-werk-bezig~a4457092/,'Ik was net mijn vader: obsessief met werk bezig',"Fri, 03 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/theater/van-wanorde-naar-orde-na-een-etmaal-in-het-theater~a4457109/,Van wanorde naar orde - na een etmaal in het theater,"Fri, 03 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/muziek/moet-een-piepend-oor-een-keuze-zijn~a4457177/,Moet een piepend oor een keuze zijn?,"Fri, 03 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/leentjebuur-spelen-bij-rembrandt~a4457147/,Leentjebuur spelen bij Rembrandt,"Fri, 03 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/recensies/ed-van-der-elsken-verdient-zijn-ereplek~a4457100/,Ed van der Elsken verdient zijn ereplek,"Thu, 02 Feb 2017 17:47:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/film/met-mensen-als-trump-is-de-bondboef-realiteit-geworden~a4456590/,Met mensen als Trump is de Bondboef realiteit geworden,"Thu, 02 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/theater/-italianen-horen-zichzelf-graag-praten~a4456566/,'Italianen horen zichzelf graag praten',"Thu, 02 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/recensies/toeval-bestaat-niet-in-tentoonstelling-martin-creed~a4456571/,Toeval bestaat niet in tentoonstelling Martin Creed,"Thu, 02 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/film/-wat-is-een-bijzonder-leven~a4456524/,'Wat is een bijzonder leven?',"Thu, 02 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/theater/alles-over-het-theaterjaar-2016-in-het-theaterjaarboek~a4456086/,Alles over het theaterjaar 2016 in het Theaterjaarboek,"Wed, 01 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/recensies/op-het-randje-van-de-koketterie~a4456083/,Op het randje van de koketterie,"Wed, 01 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/mode-en-mooi/amal-clooney-was-een-ideale-schildersmuze-geweest~a4456007/,Amal Clooney was een ideale schildersmuze geweest,"Wed, 01 Feb 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/leuk-van-der-elsken-detail-ontdekt-muze-vali-meyers-had-echt-rood-haar~a4456000/,Leuk van der Elsken-detail ontdekt: muze Vali Meyers had écht rood haar,"Tue, 31 Jan 2017 16:27:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/stedelijk-museum-alkmaar-koopt-salomon-van-ruysdael-duurste-aankoop-in-bestaan~a4455570/,"Stedelijk Museum Alkmaar koopt Salomon van Ruysdael, duurste aankoop in bestaan","Tue, 31 Jan 2017 05:00:00 GMT"
